lambda	P0_exp	Pn_exp	Q_exp	A_exp	k_exp	P0_th	Pn_th	Q_th	A_th	k_th
2,00	0,679	0,000	1,000	2,033	0,359	0,670	0,000	1,000	2,000	0,400
4,00	0,525	0,000	1,000	3,234	0,612	0,449	0,001	0,999	3,995	0,799
6,00	0,181	0,010	0,990	5,998	1,410	0,302	0,006	0,994	5,962	1,192
8,00	0,217	0,040	0,960	6,638	1,403	0,203	0,018	0,982	7,858	1,572
10,00	0,115	0,010	0,990	8,674	1,641	0,138	0,037	0,963	9,633	1,927
12,00	0,109	0,010	0,990	10,362	1,933	0,094	0,062	0,938	11,251	2,250
14,00	0,052	0,040	0,960	10,443	2,305	0,065	0,093	0,907	12,694	2,539
16,00	0,062	0,050	0,950	12,900	2,458	0,046	0,127	0,873	13,961	2,792
18,00	0,036	0,160	0,840	14,089	2,761	0,032	0,163	0,837	15,064	3,013
20,00	0,028	0,190	0,810	13,553	2,810	0,023	0,199	0,801	16,019	3,204
